sk_ato,proposicao_id,documento_id,comissao_sigla,verdict_estrutural,verdict_prosa,clausula,via
78344,22119,310939,GAB DEP ROBÉRIO NEGREIROS,Aprovado(a),admissivel,"III – CONCLUSÃO Diante do exposto, no âmbito desta Comissão de Constituição e Justiça, votamos pela ADMISSIBILIDADE do Projeto de Lei nº 1.336, de 2024.",parecer_autor
78345,22119,289423,GAB DEP JOAQUIM RORIZ NETO,Aprovado(a),merito_favoravel,"III - CONCLUSÕES Ante o exposto, no âmbito da Comissão de Desenvolvimento Econômico, Sustentável, Ciência, Tecnologia, Meio Ambiente e Turismo, voto pela APROVAÇÃO do Projeto de Lei nº 1.336/2024.",parecer_autor
78346,22152,288728,GAB DEP RICARDO VALE,Aprovado(a),merito_favoravel,"Por isso, voto pela APROVAÇÃO do Projeto de Lei nº 1.351/2024.",parecer_autor
78347,22154,283579,GAB DEP JOÃO CARDOSO,Não apreciado(a),sem_clausula,,parecer_autor
78348,22164,291978,GAB DEP PR DANIEL DE CASTRO,Não apreciado(a),sem_clausula,,parecer_autor
78349,22170,312596,GAB DEP JOÃO CARDOSO,Não apreciado(a),sem_clausula,,parecer_autor
78350,22174,288744,GAB DEP RICARDO VALE,Não apreciado(a),merito_favoravel,"Por isso, voto pela APROVAÇÃO do Projeto de Lei nº 1.341/2024.",parecer_autor
78351,22174,317202,GAB DEP ROGÉRIO MORRO DA CRUZ,Aprovado(a),sem_clausula,,parecer_autor
78352,22181,284591,GAB DEP MARTINS MACHADO,Não apreciado(a),merito_favoravel,"Pelo exposto, manifestamos voto pela APROVAÇÃO do Projeto de Decreto Legislativo nº 217/2024 no âmbito da Comissão de Assuntos Sociais.",parecer_autor
78353,22183,291990,GAB DEP GABRIEL MAGNO,Não apreciado(a),merito_favoravel,"III - CONCLUSÕES Ante o exposto, no âmbito da Comissão de Educação e Cultura, manifestamos voto pela aprovação, no mérito, do Projeto de Lei nº 1.348, de 2024, com a Emenda nº 1.",parecer_autor
78354,22189,293852,GAB DEP FÁBIO FÉLIX,Não apreciado(a),admissivel,"Diante do exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 1.344/2024, no âmbito da Comissão de Constituição e Justiça, com a aprovação da subemenda supressiva anexa.",parecer_autor
78355,22198,305431,GAB DEP PR DANIEL DE CASTRO,Aprovado(a),sem_clausula,,parecer_autor
78356,22198,284089,GAB DEP ROGÉRIO MORRO DA CRUZ,Aprovado(a),merito_favoravel,"III - CONCLUSÕES Diante do exposto, no âmbito desta Comissão, somos favoráveis à APROVAÇÃO do Projeto de Lei n.º 1345/2024.",parecer_autor
78357,22201,294318,GAB DEP MARTINS MACHADO,Não apreciado(a),merito_favoravel,"Pelo exposto, manifestamos voto pela APROVAÇÃO do Projeto de Decreto Legislativo nº 218/2024 no âmbito da Comissão de Assuntos Sociais.",parecer_autor
78358,22204,292004,GAB DEP MAX MACIEL,Aprovado(a),sem_clausula,,parecer_autor
78359,22210,291398,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Assim, o voto é pela APROVAÇÃO do Projeto de Lei n° 1349/2024.",parecer_autor
78360,22210,281802,GAB DEP RICARDO VALE,Não apreciado(a),merito_favoravel,"Por esses motivos, voto pela aprovação do Projeto de Lei nº 1.349/2024.",parecer_autor
78361,22218,321950,CEOF,Aprovado(a),admissivel_com_ressalva,"III - CONCLUSÃO Dessa forma, tendo em vista que a proposição observa as exigências formais e materiais do ordenamento jurídico e favorece a execução de políticas públicas relevantes, voto pela ADMISSIBILIDADE e APROVAÇÃO do Projeto de Decreto Legislativo referente ao Processo nº 25/2025, de autoria do Poder Executivo, no âmbito desta Comissão de Economia, Orçamento e Finanças, na forma do projeto de decreto legislativo anxo.",parecer_autor
78362,22224,298354,GAB DEP ROGÉRIO MORRO DA CRUZ,Aprovado(a),merito_favoravel,"III - CONCLUSÕES Ante o exposto, no âmbito desta Comissão de Assuntos Sociais, manifestamos voto pela APROVAÇÃO, no mérito, do Projeto de Decreto Legislativo nº 206, de 2024.",parecer_autor
78363,22227,290175,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Pelo exposto, no âmbito desta Comissão de Transporte e Mobilidade Urbana, votamos pela APROVAÇÃO, no mérito, do Projeto de Lei nº 1361/2024.",parecer_autor
78364,22244,288740,GAB DEP RICARDO VALE,Aprovado(a),merito_favoravel,"Por isso, voto pela APROVAÇÃO do Projeto de Lei nº 1.360/2024.",parecer_autor
78365,22246,288731,GAB DEP GABRIEL MAGNO,Aprovado(a),merito_favoravel,"III - CONCLUSÕES Ante o exposto, manifestamos voto pela APROVAÇÃO, no mérito, do Projeto de Lei nº 1362/2024, no âmbito da Comissão de Educação e Cultura.",parecer_autor
78366,22248,291330,GAB DEP THIAGO MANZONI,Aprovado(a),admissivel,"Ante o exposto, vota-se, no âmbito da CCJ, pela ADMISSIBILIDADE do PL nº 1363/2024, nos termos do art. 63, I, do RICLDF.",parecer_autor
78367,22271,281814,GAB DEP RICARDO VALE,Aprovado(a),merito_favoravel,"Por essas razões, voto pela APROVAÇÃO do Projeto de Lei nº 1.368/2024, com a emenda anexa.",parecer_autor
78368,22272,291189,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Assim, o voto é pela APROVAÇÃO do Projeto de Lei n° 1369/2024.",parecer_autor
78369,22277,291767,GAB DEP THIAGO MANZONI,Aprovado(a),admissivel,"Em razão do exposto, manifesta-se voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 209, de 2024, que homologa os convênios ICMS nº 132/21, nº 101/2023 e nº 146/2023, no âmbito desta Comissão de Constituição e Justiça.",parecer_autor
78370,22279,294781,GAB DEP THIAGO MANZONI,Aprovado(a),merito_favoravel,"Diante do exposto, manifestamos voto pela APROVAÇÃO do Projeto de Lei nº 1.364/2024, no âmbito da Comissão de Educação e Cultura, com a aprovação da emenda modificativa anexa.",parecer_autor
78371,22281,285333,GAB DEP JOÃO CARDOSO,Não apreciado(a),sem_clausula,,parecer_autor
78372,22297,319311,GAB DEP JOÃO CARDOSO,Não apreciado(a),sem_clausula,,parecer_autor
78373,22297,290117,GAB DEP ROOSEVELT VILELA,Aprovado(a),merito_favoravel,"III - CONCLUSÕES Diante do exposto, manifestamo-nos pela aprovação do Projeto de Lei nº 1366/2024, no âmbito desta Comissão de Segurança, na forma da Emenda Substitutiva nº 1.",parecer_autor
78374,22314,284214,GAB DEP ROGÉRIO MORRO DA CRUZ,Aprovado(a),merito_favoravel,"III - CONCLUSÕES Diante de tudo quanto exposto, no âmbito desta Comissão, somos favoráveis à APROVAÇÃO do Projeto de Lei nº 1371/2024, que dispõe sobre a criação do Programa QUERO GESTAR – Preservação de fertilidade em pessoas em tratamento oncológico.",parecer_autor
78375,22332,291182,GAB DEP GABRIEL MAGNO,Não apreciado(a),merito_favoravel,"III - CONCLUSÕES Diante do exposto, reconhecida a relevância histórica e humanitária do tema, no âmbito da Comissão de Educação e Cultura, manifestamos voto pela APROVAÇÃO, no mérito, do Projeto de Lei nº 1373/2024.",parecer_autor
78376,22346,295554,GAB DEP THIAGO MANZONI,Aprovado(a),merito_favoravel,"Diante do exposto, somos pela APROVAÇÃO, no mérito, do Projeto de Lei nº 1.382/2024, no âmbito da Comissão de Educação e Cultura, com o acolhimento da emenda supressiva anexa.",parecer_autor
78377,22388,313169,GAB DEP JOÃO CARDOSO,Não apreciado(a),sem_clausula,,parecer_autor
78378,22403,311987,GAB DEP GABRIEL MAGNO,Não apreciado(a),merito_favoravel,"III - CONCLUSÕES Diante do exposto, no âmbito da Comissão de Educação e Cultura, manifestamos voto pela aprovação, no mérito, do Projeto de Lei nº 1.377/2024, tão somente com o acatamento da Emenda nº 3, tendo em vista o cancelamento das Emendas nº 1 e 2.",parecer_autor
78379,22451,284536,GAB DEP JOÃO CARDOSO,Não apreciado(a),sem_clausula,,parecer_autor
78380,22454,283001,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Pelo exposto, manifestamos voto pela APROVAÇÃO do Projeto de Decreto Legislativo nº 215/2024 no âmbito da Comissão de Assuntos Sociais.",parecer_autor
78381,22498,288727,GAB DEP RICARDO VALE,Aprovado(a),merito_favoravel,"Por isso, voto pela APROVAÇÃO do Projeto de Lei nº 1.401/2024.",parecer_autor
78382,22499,306787,GAB DEP ROGÉRIO MORRO DA CRUZ,Não apreciado(a),merito_favoravel,"III - CONCLUSÕES Diante do exposto, no âmbito desta Comissão, somos favoráveis à APROVAÇÃO do Projeto de Lei nº 1391/2024, na forma do Substitutivo (emenda nº 1).",parecer_autor
78383,22500,289518,GAB DEP GABRIEL MAGNO,Não apreciado(a),merito_favoravel,"III - CONCLUSÃO Ante o exposto, no âmbito da Comissão de Educação e Cultura, manifestamos voto pela aprovação, no mérito, do Projeto de Lei nº 1.392/2024.",parecer_autor
78384,22501,294485,GAB DEP CHICO VIGILANTE,Não apreciado(a),admissivel,"III - CONCLUSÕES Diante do exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 1.390/2024, no âmbito da Comissão de Constituição e Justiça.",parecer_autor
78385,22501,281804,GAB DEP RICARDO VALE,Aprovado(a),merito_favoravel,"Por essas razões, voto pela aprovação do Projeto de Lei nº 1.390/2024.",parecer_autor
