sk_ato,chave_deputado,nome_na_api,partido_ultimo,tipo_ato,nome_tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,valor_centavos,regra_chave
122,18,Deputado Delmasso,,1,apresentou uma proposição,2022-02-01,2022,32,8,6042,api_i5,,autor_id
123,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-02-01,2022,32,8,6050,api_i5,,autor_id
124,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-02-01,2022,32,8,6051,api_i5,,autor_id
125,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6052,api_i5,,autor_id
126,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-03-09,2022,32,8,6055,api_i5,,autor_id
127,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-03-09,2022,32,8,6055,api_i5,,autor_id
128,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-03-09,2022,32,8,6055,api_i5,,autor_id
129,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-03-09,2022,32,8,6055,api_i5,,autor_id
130,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-03-09,2022,32,8,6055,api_i5,,autor_id
131,6,Poder Executivo,,1,apresentou uma proposição,2022-02-01,2022,32,8,6058,api_i5,,autor_id
132,18,Deputado Delmasso,,1,apresentou uma proposição,2022-02-01,2022,32,8,6059,api_i5,,autor_id
133,14,Deputada Arlete Sampaio,,1,apresentou uma proposição,2022-02-01,2022,32,8,6061,api_i5,,autor_id
134,15,Deputado Chico Vigilante,PT,1,apresentou uma proposição,2022-02-01,2022,32,8,6061,api_i5,,autor_id
135,20,Deputado Fábio Felix,PSOL,1,apresentou uma proposição,2022-02-01,2022,32,8,6061,api_i5,,autor_id
136,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6061,api_i5,,autor_id
137,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6061,api_i5,,autor_id
138,14,Deputada Arlete Sampaio,,1,apresentou uma proposição,2022-02-01,2022,32,8,6072,api_i5,,autor_id
