sk_ato,chave_deputado,nome_na_api,partido_ultimo,tipo_ato,nome_tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,valor_centavos,regra_chave,proposicao_id,documento_id,comissao_sigla,verdict_estrutural,verdict_prosa,clausula,via
77753,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2024-09-13,2024,34,9,20481,api_i8,,normalizar,20481,132513,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Ante o exposto, no âmbito da Comissão de Assuntos Sociais, somos pela aprovação, no mérito, do Projeto de Lei nº 1.167, de 2024.",parecer_autor
77754,61,Deputada Doutora Jane,REPUBLICANOS,3,relatou (parecer),2024-10-01,2024,34,9,20483,api_i8,,normalizar,20483,134923,GAB DEP DOUTORA JANE,Aprovado(a),merito_favoravel,"Seguindo esta linha de intelecção, no âmbito desta Comissão de Desenvolvimento Econômico Sustentável, Ciência, Tecnologia, Meio Ambiente e Turismo, manifestamos voto pela APROVAÇÃO, no mérito, do Projeto de Lei nº 1166/2024.",parecer_autor
77755,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2024-09-04,2024,34,9,20504,api_i8,,normalizar,20504,131097,GAB DEP MARTINS MACHADO,Não apreciado(a),merito_favoravel,"Diante do exposto, nosso voto é pela APROVAÇÃO do Projeto de Decreto Legislativo nº 162/24.",parecer_autor
77756,59,Deputado Pastor Daniel de Castro,PP,3,relatou (parecer),2024-10-01,2024,34,9,20514,api_i8,,normalizar,20514,134869,GAB DEP PR DANIEL DE CASTRO,Aprovado(a),sem_clausula,,parecer_autor
77757,34,Deputado Roosevelt Vilela,PL,3,relatou (parecer),2024-08-27,2024,34,9,20537,api_i8,,normalizar,20537,129739,GAB DEP ROOSEVELT VILELA,Aprovado(a),sem_clausula,,parecer_autor
77758,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2024-09-11,2024,34,9,20541,api_i8,,normalizar,20541,132201,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Pelo exposto, o voto é pela aprovação do Projeto de Lei 1175/2024.",parecer_autor
77759,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2024-09-13,2024,34,9,20732,api_i8,,normalizar,20732,132518,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Ante o exposto, no âmbito da Comissão de Assuntos Sociais, somos pela aprovação, no mérito, do Projeto de Lei nº 1.184, de 2024.",parecer_autor
77760,57,Deputado Ricardo Vale,PT,3,relatou (parecer),2024-09-24,2024,34,9,20755,api_i8,,normalizar,20755,134037,GAB DEP RICARDO VALE,Aprovado(a),merito_favoravel,"Diante do exposto, voto pela APROVAÇÃO do Projeto de Lei nº 1.185, de 2024.",parecer_autor
77761,60,Deputada Dayse Amarilio,PSB,3,relatou (parecer),2024-12-16,2024,34,9,20780,api_i8,,normalizar,20780,281455,GAB DEP DAYSE AMARILIO,Não apreciado(a),merito_favoravel,"Feitas essas considerações, manifestamo-nos pela aprovação, no mérito, do Projeto de Lei nº 1.189, de 2024, no âmbito desta Comissão de Educação, Saúde e Cultura, na forma do Substitutivo anexo.",parecer_autor
77762,67,Deputado Rogério Morro da Cruz,PSD,3,relatou (parecer),2024-09-13,2024,34,9,20803,api_i8,,normalizar,20803,132528,GAB DEP ROGÉRIO MORRO DA CRUZ,Aprovado(a),sem_clausula,,parecer_autor
77763,60,Deputada Dayse Amarilio,PSB,3,relatou (parecer),2024-09-19,2024,34,9,20808,api_i8,,normalizar,20808,133471,GAB DEP DAYSE AMARILIO,Aprovado(a),merito_favoravel,"Feitas essas considerações, manifestamo-nos, no mérito, pela APROVAÇÃO do Projeto de Lei nº 1192 de 2024, no âmbito desta Comissão de Assuntos Sociais.",parecer_autor
